original_country,original_city,original_date,description,country_modified_for_geo,city_modified_for_geo,date,sec_id,sec_name,id,glat,glon,gcity,gcountry,isGeocoded,split_added,original_line,start_time,end_time,start_time_form,end_time_form,elapsed_days
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,"Xian, Beijing, Shanghai, Guilin, Hong Kong",,sec-25,Madeleine Korbel Albright,1986,,,,,,,1,8.98747E+11,8.99438E+11,Thu Jun 25 1998 00:00:00 GMT-0400 (EDT),Fri Jul 03 1998 00:00:00 GMT-0400 (EDT),8
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,Xian,,sec-25,Madeleine Korbel Albright,1987,34.341575,108.93977,Xi'an,China,1,1,,8.98747E+11,8.98834E+11,Thu Jun 25 1998 00:00:00 GMT-0400 (EDT),Fri Jun 26 1998 00:00:00 GMT-0400 (EDT),1
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,Beijing,,sec-25,Madeleine Korbel Albright,1988,39.904211,116.407395,Beijing,China,1,1,,8.98834E+11,8.99006E+11,Fri Jun 26 1998 00:00:00 GMT-0400 (EDT),Sun Jun 28 1998 00:00:00 GMT-0400 (EDT),2
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,Shanghai,,sec-25,Madeleine Korbel Albright,1989,31.230416,121.473701,Shanghai,China,1,1,,8.99006E+11,8.99093E+11,Sun Jun 28 1998 00:00:00 GMT-0400 (EDT),Mon Jun 29 1998 00:00:00 GMT-0400 (EDT),1
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,Guilin,,sec-25,Madeleine Korbel Albright,1990,25.234479,110.179954,Guilin,China,1,1,,8.99093E+11,8.99266E+11,Mon Jun 29 1998 00:00:00 GMT-0400 (EDT),Wed Jul 01 1998 00:00:00 GMT-0400 (EDT),2
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong","June 25���July 3, 1998",Accompanied President Clinton on a State Visit.,China,Hong Kong,,sec-25,Madeleine Korbel Albright,1991,22.396428,114.109497,,Hong Kong,1,1,,8.99266E+11,8.99438E+11,Wed Jul 01 1998 00:00:00 GMT-0400 (EDT),Fri Jul 03 1998 00:00:00 GMT-0400 (EDT),2
Japan,Tokyo,"July 3���4, 1998",Met with Prime Minister Hashimoto and Foreign Minister Obuchi.,Japan,Tokyo,,sec-25,Madeleine Korbel Albright,1992,35.6894875,139.6917064,,Japan,1,,,8.99438E+11,8.99525E+11,Fri Jul 03 1998 00:00:00 GMT-0400 (EDT),Sat Jul 04 1998 00:00:00 GMT-0400 (EDT),1
Philippines,Manila,"July 26���29, 1998",Attended ASEAN Regional Forum and Post Ministerial Conference. Met with Russian Foreign Minister Primakov.,Philippines,Manila,,sec-25,Madeleine Korbel Albright,1993,14.5995124,120.9842195,Manila,Philippines,1,,,9.01426E+11,9.01685E+11,Sun Jul 26 1998 00:00:00 GMT-0400 (EDT),Wed Jul 29 1998 00:00:00 GMT-0400 (EDT),3
Papua New Guinea,Port Moresby,29-Jul-98,Met with Prime Minister Skate and announced additional U.S. humanitarian assistance.,Papua New Guinea,Port Moresby,,sec-25,Madeleine Korbel Albright,1994,-9.4780123,147.1506542,Port Moresby,Papua New Guinea,1,,,9.01685E+11,9.01771E+11,Wed Jul 29 1998 00:00:00 GMT-0400 (EDT),Thu Jul 30 1998 00:00:00 GMT-0400 (EDT),1
Australia,Sydney,"July 29���August 1, 1998",Attended Australia-U.S. Ministerial Meeting.,Australia,Sydney,,sec-25,Madeleine Korbel Albright,1995,-33.8688197,151.2092955,,Australia,1,,,9.01685E+11,9.01944E+11,Wed Jul 29 1998 00:00:00 GMT-0400 (EDT),Sat Aug 01 1998 00:00:00 GMT-0400 (EDT),3
